Id,Label,weight
Dong Zhuo,Dong Zhuo,204
Lu Bu,Lu Bu,144
Yuan Shao,Yuan Shao,106
Cao Cao,Cao Cao,105
Sun Jian,Sun Jian,84
Liu Bei,Liu Bei,83
Wang Yun,Wang Yun,80
Gongsun Zan,Gongsun Zan,49
Li Ru,Li Ru,48
He Jin,He Jin,42
Zhang Fei,Zhang Fei,41
Li Su,Li Su,34
Guan Yu,Guan Yu,29
Prime Minister,Prime Minister,29
Liu Biao,Liu Biao,24
Diao Chan,Diao Chan,23
Imperial Protector,Imperial Protector,20
Yuan Shu,Yuan Shu,20
Zhu Jun,Zhu Jun,19
Zhang Jue,Zhang Jue,18
Ding Yuan,Ding Yuan,17
Chen Gong,Chen Gong,17
Lu Zhi,Lu Zhi,15
Empress He,Empress He,15
Li Jue,Li Jue,14
Huang Zu,Huang Zu,14
Zhang Rang,Zhang Rang,12
Cheng Pu,Cheng Pu,12
Empress Dong,Empress Dong,11
Guo Si,Guo Si,11
Huang Gai,Huang Gai,11
Zhang Bao,Zhang Bao,10
Huangfu Song,Huangfu Song,10
Han Fu,Han Fu,9
Cai Mao,Cai Mao,9
Cai Yong,Cai Yong,8
Liu Tao,Liu Tao,8
Wen Chou,Wen Chou,8
Kuai Liang,Kuai Liang,8
Sun Ce,Sun Ce,8
Jian Shuo,Jian Shuo,7
Liu Xian,Liu Xian,7
Zhang Ji,Zhang Ji,7
Fan Chou,Fan Chou,7
Bao Xin,Bao Xin,7
Lu Boshe,Lu Boshe,7
Zhao Yun,Zhao Yun,7
Zhou Jing,Zhou Jing,6
Cao Hong,Cao Hong,6
Wang Kuang,Wang Kuang,6
Xiahou Dun,Xiahou Dun,5
Han Dang,Han Dang,5
Prince Xian,Prince Xian,4
Min Gong,Min Gong,4
Zu Mao,Zu Mao,4
Kuai Yue,Kuai Yue,4
Huan Jie,Huan Jie,4
Zhou Bi,Zhou Bi,3
Wei Hong,Wei Hong,3
Xiahou Yuan,Xiahou Yuan,3
Geng Wu,Geng Wu,3
Xu Shao,Xu Shao,2
His Majesty,His Majesty,2
Pan Yin,Pan Yin,2
Wu Kuang,Wu Kuang,2
Yang Biao,Yang Biao,2
Wu Qiong,Wu Qiong,2
Cao Ren,Cao Ren,2
Kong Rong,Kong Rong,2
Tian Feng,Tian Feng,2
Ma Midi,Ma Midi,2
Hu Chier,Hu Chier,2
Emperor Xian,Emperor Xian,1
Ma Yuanyi,Ma Yuanyi,1
Cheng Yu,Cheng Yu,1
Yue Jin,Yue Jin,1
Li Dian,Li Dian,1
Liu Dai,Liu Dai,1
Tao Qian,Tao Qian,1
Peng Ji,Peng Ji,1
Xun Chang,Xun Chang,1
Sun Jing,Sun Jing,1
Zhang Hu,Zhang Hu,1
Zhang Wen,Zhang Wen,1
Jia Xu,Jia Xu,1
"Guan Yu to his left, Zhang Fei to his right. Flourishing his whip, Liu Bei","Guan Yu to his left, Zhang Fei to his right. Flourishing his whip, Liu Bei",0
Sun Zi,Sun Zi,0
Noble Sir,Noble Sir,0
Empress Dowager,Empress Dowager,0
Xun You,Xun You,0
Lady Wu,Lady Wu,0
Minister Zheng Tai,Minister Zheng Tai,0
Ma Teng,Ma Teng,0
South Land,South Land,0
Xin Ping,Xin Ping,0
Xin Pi,Xin Pi,0
Ju Shou,Ju Shou,0
Xu You,Xu You,0
Sun Shao,Sun Shao,0
Sun Quan,Sun Quan,0
she. “,she. “,0
Zhuge Liang,Zhuge Liang,0
Li Meng,Li Meng,0
Wang Fang,Wang Fang,0
Wang Qi,Wang Qi,0
