character,count
Cao Cao,1057
Liu Bei,736
Lu Bu,429
Guan Yu,396
Yuan Shao,328
Dong Zhuo,222
Zhang Fei,186
Sun Ce,161
Liu Biao,127
Prime Minister,126
Yuan Shu,117
Zhang Liao,94
Li Jue,91
Sun Jian,88
Chen Gong,85
Wang Yun,83
Imperial Protector,78
Guo Si,77
Dong Cheng,77
Xiahou Dun,67
Gongsun Zan,64
Sun Qian,59
Yuan Shang,59
Yuan Tan,54
Xun Yu,52
Yu Ji,52
Chen Deng,52
Zhao Yun,50
Li Ru,48
Shen Pei,48
Dian Wei,47
Xu Chu,46
Kong Rong,45
Zhang Xiu,45
He Jin,44
Li Dian,44
Cao Ren,44
Jia Xu,43
Guo Jia,43
Xu Huang,43
Tao Qian,42
Cai Mao,42
Taishi Ci,42
Yang Feng,39
Mi Zhu,38
Cheng Yu,35
Li Su,34
Xu You,34
Guo Tu,33
Wen Chou,32
Tian Feng,31
Yu Jin,31
Cao Hong,29
Gao Shun,29
Sun Quan,28
Mi Heng,28
Yue Jin,27
Ma Teng,27
Zhu Jun,26
Xu Shu,26
Xun You,25
Zhang Ji,25
Diao Chan,25
Huang Zu,24
Ji Ling,24
Zhuge Liang,23
Ji Ping,23
Zhang Jue,21
Cheng Pu,20
Xiahou Yuan,19
Xin Pi,19
Ju Shou,19
Zhou Yu,19
Wang Zifu,19
Gao Lan,19
Ding Yuan,18
Fan Chou,18
Yang Biao,18
Liu Dai,18
Han Xian,18
Yuan Xi,18
Peng Ji,17
Zhang He,17
San Fu,17
Liu Yao,16
Wei Xu,16
Lu Zhi,15
Empress He,15
Han Fu,15
Huang Gai,15
Song Xian,15
Liu Pi,15
Zhang Zhao,14
Wang Zhong,14
Hou Cheng,13
Jian Yong,13
Che Zhou,13
Zhou Cang,13
Zhang Rang,12
South Land,12
Chen Gui,12
Gong Du,12
Empress Dong,11
Kuai Liang,11
Man Chong,11
Cao Bao,11
Zhang Hong,11
Zhang Yi,11
Lu Xiang,11
Zhang Bao,10
Huangfu Song,10
Kuai Yue,10
Han Sui,10
Liu Ye,10
Li Yue,10
Lady Gan,10
Wang Lang,10
Han Yin,10
Chen Zhen,10
Cai Yong,9
His Majesty,9
Han Dang,9
Xin Ping,9
Huangfu Li,9
Yan Baihu,9
Liu Tao,8
Liu Xian,8
Bao Xin,8
Li Meng,8
Wang Fang,8
Liao Hua,8
Hu Ban,8
Gongsun Kang,8
Emperor Xian,7
Jian Shuo,7
Lu Boshe,7
Li Feng,7
Jiang Qi,7
Lu Su,7
Yi Ji,7
Zhou Jing,6
Wang Kuang,6
Zhang Ying,6
Yang Dajiang,6
Wang Zhi,6
Cao Pi,6
Tian Chou,6
Lady Cai,6
Cui Zhouping,6
Lady Wu,5
Prince Xian,5
Xue Lan,5
Cao Xi,5
Lady Qiong,5
Dong Zhao,5
Yu Fan,5
Xu Si,5
Han Song,5
Quin Quington,5
Kong Xiu,5
Guan Ping,5
Wang Xiu,5
Ma Yan,5
Zhuge Jun,5
Noble Sir,4
Min Gong,4
Zu Mao,4
Sun Jing,4
Huan Jie,4
Yang Feng and Han Xian,4
Zhu Zhi,4
Lu Fan,4
Zhou Xin,4
Cao Amin,4
Wu Shi,4
Guan Ding,4
Lady Xu,4
Lady Xun,4
Zhou Bi,3
Wei Hong,3
Geng Wu,3
Ma Chao,3
Yang Qi,3
Han Rong,3
Lady Mi,3
Yan Yu,3
Zhang Lu,3
Liu An,3
Du Yu,3
Meng Tan,3
Lady Liu,3
Liu Qi,3
Xu Shao,2
Pan Yin,2
Wu Kuang,2
Wu Qiong,2
Ma Midi,2
Hu Chier,2
Zhiguan Hills,2
Zhou Tai,2
Hua Tuo,2
Liu Zhang,2
Fu Wan,2
Pang Tong,2
Guan Zhong,2
Ma Yuanyi,1
Xun Chang,1
Zhang Hu,1
Zhang Wen,1
Li Yi,1
Li Ying,1
Chen Wei,1
Lady Kai,1
Cui Yong,1
Lu Kang,1
Chen Heng,1
Dong Xi,1
Yan Xiang,1
Ma Rong,1
Guan Ning,1
Zhuge Jin,1
Li Fu,1
Cui Yan,1
Zhang Nan,1
Wuhuan Chu,1
Ce Xian,1
Cao Zhi,1
Liu Biao's wife,1
Wang Wei,1
Wen Ping,1
Pang De,1
Liu Mi,1
"Guan Yu to his left, Zhang Fei to his right. Flourishing his whip, Liu Bei",0
Sun Zi,0
Empress Dowager,0
Minister Zheng Tai,0
Sun Shao,0
she. “,0
Wang Qi,0
Hu Miao,0
Li Bie,0
Yan Baihu the White Tiger,0
Wang Lian,0
Yang Hu,0
Yang Xiu,0
"withdrew sadly, saying. “",0
Hua Xin,0
Liu Xun,0
Lady Qiao,0
Gu Yong,0
"Cao Cao called him out and chided him, but the wife",0
Gongsun Gong,0
Liu Zong,0
bye Cai Mao,0
Cai He,0
Liu Feng,0
Zhuge Xu,0
